img,angle
IMG\right_2018_07_16_17_11_43_382.jp,0.0
IMG\right_2018_07_16_17_11_43_670.jp,0.0
IMG\right_2018_07_16_17_11_43_724.jp,0.0
IMG\right_2018_07_16_17_11_43_792.jp,0.0
IMG\right_2018_07_16_17_11_43_860.jp,0.0
IMG\right_2018_07_16_17_11_43_930.jp,0.0
IMG\right_2018_07_16_17_11_43_998.jp,0.0
IMG\right_2018_07_16_17_11_44_069.jp,0.0
IMG\right_2018_07_16_17_11_44_137.jp,0.0
IMG\right_2018_07_16_17_11_44_209.jp,0.0
IMG\right_2018_07_16_17_11_44_274.jp,0.0
IMG\right_2018_07_16_17_11_44_342.jp,0.0
IMG\right_2018_07_16_17_11_44_413.jp,-0.05
IMG\right_2018_07_16_17_11_44_485.jp,-0.25
IMG\right_2018_07_16_17_11_44_558.jp,-0.4
IMG\right_2018_07_16_17_11_44_627.jp,-0.5354305
IMG\right_2018_07_16_17_11_44_697.jp,-0.4319619
IMG\right_2018_07_16_17_11_44_769.jp,-0.1909571
IMG\right_2018_07_16_17_11_44_839.jp,-0.006139816
IMG\right_2018_07_16_17_11_44_911.jp,0.0
IMG\right_2018_07_16_17_11_44_981.jp,0.0
IMG\right_2018_07_16_17_11_45_052.jp,0.0
IMG\right_2018_07_16_17_11_45_120.jp,-0.05
IMG\right_2018_07_16_17_11_45_190.jp,-0.25
IMG\right_2018_07_16_17_11_45_261.jp,-0.4176539
IMG\right_2018_07_16_17_11_45_333.jp,-0.148133
IMG\right_2018_07_16_17_11_45_405.jp,0.0
IMG\right_2018_07_16_17_11_45_479.jp,0.0
IMG\right_2018_07_16_17_11_45_555.jp,-0.15
IMG\right_2018_07_16_17_11_45_622.jp,-0.2039619
IMG\right_2018_07_16_17_11_45_692.jp,0.0
IMG\right_2018_07_16_17_11_45_768.jp,-0.1
IMG\right_2018_07_16_17_11_45_841.jp,-0.25
IMG\right_2018_07_16_17_11_45_913.jp,-0.2899932
IMG\right_2018_07_16_17_11_45_984.jp,-0.04874708
IMG\right_2018_07_16_17_11_46_053.jp,-0.1987471
IMG\right_2018_07_16_17_11_46_127.jp,-0.3987471
IMG\right_2018_07_16_17_11_46_201.jp,-0.5835459
IMG\right_2018_07_16_17_11_46_273.jp,-0.3347006
IMG\right_2018_07_16_17_11_46_346.jp,-0.09781816
IMG\right_2018_07_16_17_11_46_582.jp,-0.45
IMG\right_2018_07_16_17_11_46_648.jp,-0.6500001
IMG\right_2018_07_16_17_11_46_718.jp,-0.8377869
IMG\right_2018_07_16_17_11_46_799.jp,-0.570669
IMG\right_2018_07_16_17_11_46_873.jp,-0.371641
IMG\right_2018_07_16_17_11_46_949.jp,-0.1184418
IMG\right_2018_07_16_17_11_47_022.jp,0.03825914
IMG\right_2018_07_16_17_11_47_090.jp,0.2382591
IMG\right_2018_07_16_17_11_47_161.jp,0.3882592
IMG\right_2018_07_16_17_11_47_287.jp,0.4069337
IMG\right_2018_07_16_17_11_47_354.jp,0.2246239
IMG\right_2018_07_16_17_11_47_421.jp,0.03269759
IMG\right_2018_07_16_17_11_47_496.jp,0.0
IMG\right_2018_07_16_17_11_47_565.jp,-0.05
IMG\right_2018_07_16_17_11_47_636.jp,-0.2
IMG\right_2018_07_16_17_11_47_709.jp,-0.407143
IMG\right_2018_07_16_17_11_47_776.jp,-0.2272892
IMG\right_2018_07_16_17_11_47_854.jp,0.0
IMG\right_2018_07_16_17_11_47_921.jp,0.0
IMG\right_2018_07_16_17_11_47_988.jp,0.2
IMG\right_2018_07_16_17_11_48_057.jp,0.05533018
IMG\right_2018_07_16_17_11_48_129.jp,0.0
IMG\right_2018_07_16_17_11_48_203.jp,0.0
IMG\right_2018_07_16_17_11_48_277.jp,0.0
IMG\right_2018_07_16_17_11_48_350.jp,-0.15
IMG\right_2018_07_16_17_11_48_417.jp,-0.3
IMG\right_2018_07_16_17_11_48_520.jp,-0.2139899
IMG\right_2018_07_16_17_11_48_587.jp,-0.01322652
