center,left,right,angle,a,b,velocity
IMG\center_2018_07_16_17_11_43_382.jpg,IMG\left_2018_07_16_17_11_43_382.jpg,IMG\right_2018_07_16_17_11_43_382.jpg,0.0,0.0,0.0,0.6497864
IMG\center_2018_07_16_17_11_43_670.jpg,IMG\left_2018_07_16_17_11_43_670.jpg,IMG\right_2018_07_16_17_11_43_670.jpg,0.0,0.0,0.0,0.6279418
IMG\center_2018_07_16_17_11_43_724.jpg,IMG\left_2018_07_16_17_11_43_724.jpg,IMG\right_2018_07_16_17_11_43_724.jpg,0.0,0.0,0.0,0.6229097
IMG\center_2018_07_16_17_11_43_792.jpg,IMG\left_2018_07_16_17_11_43_792.jpg,IMG\right_2018_07_16_17_11_43_792.jpg,0.0,0.0,0.0,0.6191623
IMG\center_2018_07_16_17_11_43_860.jpg,IMG\left_2018_07_16_17_11_43_860.jpg,IMG\right_2018_07_16_17_11_43_860.jpg,0.0,0.0,0.0,0.6154376
IMG\center_2018_07_16_17_11_43_930.jpg,IMG\left_2018_07_16_17_11_43_930.jpg,IMG\right_2018_07_16_17_11_43_930.jpg,0.0,0.0,0.0,0.6105061
IMG\center_2018_07_16_17_11_43_998.jpg,IMG\left_2018_07_16_17_11_43_998.jpg,IMG\right_2018_07_16_17_11_43_998.jpg,0.0,0.0,0.0,0.6068335
IMG\center_2018_07_16_17_11_44_069.jpg,IMG\left_2018_07_16_17_11_44_069.jpg,IMG\right_2018_07_16_17_11_44_069.jpg,0.0,0.0,0.0,0.6019711
IMG\center_2018_07_16_17_11_44_137.jpg,IMG\left_2018_07_16_17_11_44_137.jpg,IMG\right_2018_07_16_17_11_44_137.jpg,0.0,0.0,0.0,0.59835
IMG\center_2018_07_16_17_11_44_209.jpg,IMG\left_2018_07_16_17_11_44_209.jpg,IMG\right_2018_07_16_17_11_44_209.jpg,0.0,0.02400588,0.0,0.6206543
IMG\center_2018_07_16_17_11_44_274.jpg,IMG\left_2018_07_16_17_11_44_274.jpg,IMG\right_2018_07_16_17_11_44_274.jpg,0.0,0.2027734,0.0,0.7070002
IMG\center_2018_07_16_17_11_44_342.jpg,IMG\left_2018_07_16_17_11_44_342.jpg,IMG\right_2018_07_16_17_11_44_342.jpg,0.0,0.3826937,0.0,0.9467989
IMG\center_2018_07_16_17_11_44_413.jpg,IMG\left_2018_07_16_17_11_44_413.jpg,IMG\right_2018_07_16_17_11_44_413.jpg,-0.05,0.6427272,0.0,1.434013
IMG\center_2018_07_16_17_11_44_485.jpg,IMG\left_2018_07_16_17_11_44_485.jpg,IMG\right_2018_07_16_17_11_44_485.jpg,-0.25,0.8633261,0.0,2.173052
IMG\center_2018_07_16_17_11_44_558.jpg,IMG\left_2018_07_16_17_11_44_558.jpg,IMG\right_2018_07_16_17_11_44_558.jpg,-0.4,1.0,0.0,2.864847
